climate_model,data_id,model,quantile,reference_period_end_year,reference_period_start_year,region,scenario,stage,todo,unit,variable,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
MAGICC7,1e3fb9be-e733-4f2d-a033-7b36a2080f04,AIM/CGE,0.5,,,World,SSP370,climate,not_relevant,ppb,Atmospheric Concentrations|CH4,1755.23,1757.19,1761.5,1770.29,1778.2,1778.01,1776.53,1778.96,1783.59,1784.23,1783.36,1783.42,1788.95,1798.42,1802.1,1807.85,1813.07,1815.26,1822.58,1831.47,1841.94,1857.2553200000002,1872.970625,1889.05791,1905.43859,1922.09448,1939.000385,1956.206075,1973.6411400000002,1991.2635599999999,2009.12601,2027.269785,2045.608585,2064.29703,2083.141575,2102.085035,2121.19697,2140.086155,2159.0537299999996,2177.92349,2196.293725,2214.7347600000003,2232.975955,2251.097145,2268.9506149999997,2286.790425,2304.645985,2322.36724,2340.01341,2357.76617,2375.47295,2393.2325849999997,2411.0062850000004,2428.1993350000002,2445.30379,2462.672795,2480.05049,2497.344895,2514.86814,2532.522005,2550.115745,2567.387905,2585.012305,2602.6857499999996,2620.26137,2637.815815,2655.146755,2672.789295,2690.502245,2707.83266,2725.83956,2743.8723099999997,2761.331935,2779.12846,2796.61766,2814.363075,2832.2967399999998,2850.15015,2867.88731,2885.25154,2902.985025,2920.83043,2938.98462,2956.8891350000004,2975.0012749999996,2992.747125,3010.2149,3027.514575,3044.67236,3061.41474,3078.2461700000003,3094.29464,3110.47293,3126.615405,3142.477515,3157.96076,3173.371475,3188.577315,3203.7217250000003,3218.69551,3233.49914,3248.1408,3262.6508249999997,3277.028915,3291.488825,3305.9732000000004
MAGICC7,1e3fb9be-e733-4f2d-a033-7b36a2080f04,AIM/CGE,0.5,,,World,SSP370,climate,not_relevant,ppm,Atmospheric Concentrations|CO2,360.239,362.005,363.252,365.933,367.845,369.125,370.673,372.835,375.411,376.987,378.907,381.01,382.603,384.739,386.28,388.717,390.944,393.016,395.725,397.547,399.949,402.72071,405.56335,408.49870999999996,411.52927,414.63750500000003,417.839045,421.112775,424.435405,427.826015,431.29499,434.845335,438.399805,442.035285,445.74694,449.524065,453.4274,457.347355,461.229785,465.191955,469.24577,473.3275,477.457015,481.62295500000005,485.85578,490.115955,494.50652,498.91922999999997,503.370215,507.80528000000004,512.278965,516.8639450000001,521.48315,526.08969,530.70394,535.353465,540.1843349999999,545.0110500000001,549.89071,554.79823,559.7236350000001,564.683235,569.804715,574.866665,579.833565,584.8446550000001,589.97163,595.154035,600.44091,605.74452,611.05321,616.32086,621.64738,627.053625,632.505705,638.0817,643.73696,649.3711450000001,655.04957,660.86117,666.70379,672.526805,678.359155,684.20106,690.109585,696.0418,702.00002,708.078225,714.262965,720.496355,726.7944150000001,733.060295,739.36913,745.738665,752.2494899999999,758.737935,765.290885,771.91895,778.51909,785.14908,791.83996,798.682695,805.6682350000001,812.6811299999999,820.134335,827.6404150000001
MAGICC7,1e3fb9be-e733-4f2d-a033-7b36a2080f04,AIM/CGE,0.5,,,World,SSP370,climate,not_relevant,ppb,Atmospheric Concentrations|N2O,311.279,312.298,313.183,313.907,314.709,315.759,316.493,317.101,317.73,318.357,319.13,319.933,320.646,321.575,322.275,323.141,324.159,325.005,325.919,326.988,328.18,328.93938,329.71332,330.503015,331.30982,332.13367,332.97438999999997,333.82861,334.69629499999996,335.577165,336.4712,337.37832000000003,338.298405,339.231735,340.177875,341.13682,342.108215,343.088725,344.077695,345.07522,346.081055,347.09542,348.118245,349.14928499999996,350.188385,351.23583499999995,352.291265,353.35323000000005,354.42165,355.49593500000003,356.57665,357.66357500000004,358.75648,359.85496,360.95953499999996,362.069655,363.18638,364.30677000000003,365.431745,366.56115,367.69511,368.832635,369.9744,371.11964,372.268935,373.42264,374.580295,375.741455,376.90665,378.07594,379.24925,380.42603499999996,381.60589000000004,382.78913,383.97553,385.16552,386.358835,387.55587,388.755335,389.958735,391.16477499999996,392.37334,393.584915,394.79844,396.01517,397.23427000000004,398.455935,399.681735,400.911645,402.14590499999997,403.38355,404.625625,405.870905,407.11931,408.37204499999996,409.62839499999995,410.88840500000003,412.150675,413.415625,414.68543999999997,415.957825,417.23314000000005,418.51164,419.79330500000003,421.07804999999996,422.366065
MAGICC7,1e3fb9be-e733-4f2d-a033-7b36a2080f04,AIM/CGE,0.5,,,World,SSP370,climate,not_relevant,GtC / yr,CO2I_INVERSE_EMMS,6.2588799999999996,5.100775,7.22029,6.67779,5.506075,5.914645,7.449335,8.386835,6.658555,7.114565,7.59727,6.567165,7.790875,6.950340000000001,8.672525,8.277905,7.99966,9.29137,7.64808,8.582609999999999,9.60797,9.919865,10.23409,10.52914,10.820170000000001,11.109745,11.34849,11.581195000000001,11.80727,12.032775,12.257755,12.48847,12.718845,12.95156,13.180985,13.411290000000001,13.579270000000001,13.7479,13.91663,14.08365,14.242055,14.4059,14.56484,14.73049,14.89227,15.05623,15.18782,15.320229999999999,15.45116,15.58098,15.71269,15.838645,15.96552,16.089064999999998,16.210935,16.337345,16.436435000000003,16.532345,16.62704,16.72336,16.819885,16.913539999999998,17.002055,17.09438,17.1879,17.276845,17.37503,17.474584999999998,17.574635,17.673225000000002,17.772125000000003,17.87335,17.969884999999998,18.0642,18.157905,18.25333,18.350344999999997,18.45081,18.550055,18.64707,18.745745,18.84355,18.9432,19.04269,19.13993,19.235325000000003,19.359335,19.48544,19.611355000000003,19.739795,19.86606,19.995095,20.125230000000002,20.25351,20.38353,20.5128,20.64224,20.773615,20.899684999999998,21.028765,21.16262,21.29515,21.429735,21.562649999999998,21.697395,21.831310000000002
MAGICC7,1e3fb9be-e733-4f2d-a033-7b36a2080f04,AIM/CGE,0.5,,,World,SSP370,climate,not_relevant,GtC,CO2_ATMOS_POOL,764.7874,768.53662,771.184,776.87576,780.93494,783.65238,786.93878,791.5287,796.99755,800.3434,804.41956,808.88423,812.26617,816.8009,820.07244,825.24619,829.97411,834.37297,840.12418,843.99228,849.09173,854.9760650000001,861.011,867.242765,873.6766399999999,880.2754199999999,887.0722900000001,894.0224250000001,901.0763649999999,908.2746199999999,915.63927,923.176645,930.7227849999999,938.44091,946.3207500000001,954.3395849999999,962.62637,970.948435,979.190835,987.602525,996.208765,1004.87428,1013.6412399999999,1022.48554,1031.471825,1040.51618,1049.837335,1059.20553,1068.654975,1078.07061,1087.56824,1097.302155,1107.10873,1116.888415,1126.6844649999998,1136.5554000000002,1146.811345,1157.05847,1167.41798,1177.83664,1188.2932700000001,1198.8225,1209.6954150000001,1220.44193,1230.9866550000002,1241.6252,1252.5097700000001,1263.5120200000001,1274.73605,1285.9956200000001,1297.265975,1308.449175,1319.7573849999999,1331.23484,1342.80961,1354.64745,1366.65356,1378.61495,1390.67024,1403.0082699999998,1415.41215,1427.77441,1440.156485,1452.558855,1465.1026550000001,1477.6967399999999,1490.34604,1503.250065,1516.3802799999999,1529.6137549999999,1542.98455,1556.28701,1569.68066,1583.2031900000002,1597.02566,1610.800635,1624.712555,1638.78393,1652.796025,1666.87149,1681.076225,1695.603365,1710.433665,1725.32204,1741.145195,1757.0806
MAGICC7,1e3fb9be-e733-4f2d-a033-7b36a2080f04,AIM/CGE,0.5,,,World,SSP370,climate,not_relevant,W/m^2,Effective Radiative Forcing,1.695775,1.7933,1.6814,1.838495,2.0182599999999997,2.0626249999999997,2.0812,2.057505,2.0765,2.0700950000000002,2.04684,2.099255,2.12212,2.242005,2.2805299999999997,2.28266,2.42251,2.462735,2.54516,2.53574,2.556705,2.560365,2.599175,2.6437350000000004,2.69168,2.741575,2.8201400000000003,2.89254,2.953515,3.009795,3.048965,3.08726,3.12444,3.173165,3.22008,3.2744999999999997,3.3288900000000003,3.391455,3.46948,3.5590650000000004,3.62235,3.696435,3.744935,3.80483,3.84441,3.885745,3.929335,3.982945,4.04089,4.10577,4.192915,4.265445,4.34094,4.4018250000000005,4.446289999999999,4.477405,4.525365,4.56911,4.622645,4.6891099999999994,4.76768,4.84507,4.9036100000000005,4.9664850000000005,5.0262150000000005,5.07296,5.12527,5.17349,5.231235,5.285215,5.348845,5.431755,5.51401,5.586679999999999,5.642105,5.69029,5.732295000000001,5.786535,5.84375,5.89775,5.95259,6.00783,6.07483,6.151375,6.22777,6.2966750000000005,6.3608899999999995,6.42262,6.472825,6.53504,6.578105,6.630435,6.69264,6.75732,6.831135,6.91989,6.9967500000000005,7.0763300000000005,7.12758,7.17617,7.230465,7.278705,7.33727,7.395805,7.467805,7.549015000000001
MAGICC7,1e3fb9be-e733-4f2d-a033-7b36a2080f04,AIM/CGE,0.5,,,World,SSP370,climate,not_relevant,W/m^2,Effective Radiative Forcing|Aerosols,-1.224715,-1.1544699999999999,-1.28644,-1.3005200000000001,-1.153755,-1.10778,-1.105985,-1.18876,-1.201545,-1.205235,-1.233465,-1.2344650000000001,-1.24254,-1.181095,-1.152685,-1.209625,-1.16276,-1.20206,-1.153315,-1.196415,-1.18426,-1.1857,-1.189175,-1.193975,-1.195495,-1.19825,-1.201095,-1.2043650000000001,-1.207315,-1.210295,-1.212765,-1.21612,-1.21948,-1.22264,-1.2256200000000002,-1.227395,-1.228475,-1.22956,-1.230645,-1.231725,-1.232805,-1.234105,-1.2356349999999998,-1.23716,-1.23865,-1.2397399999999998,-1.2403749999999998,-1.24101,-1.241595,-1.2421799999999998,-1.242755,-1.24334,-1.2439200000000001,-1.2445,-1.24508,-1.243825,-1.24052,-1.2372100000000001,-1.23389,-1.230565,-1.22723,-1.2238850000000001,-1.220535,-1.21718,-1.2138149999999999,-1.21029,-1.20651,-1.202955,-1.199585,-1.196195,-1.192805,-1.189415,-1.186315,-1.1832099999999999,-1.179705,-1.175945,-1.17174,-1.16765,-1.164145,-1.160625,-1.1571850000000001,-1.153335,-1.14948,-1.14564,-1.14181,-1.13832,-1.135475,-1.132635,-1.13001,-1.1274,-1.124795,-1.122035,-1.11897,-1.1159,-1.11282,-1.1090200000000001,-1.104965,-1.1009799999999998,-1.09699,-1.09305,-1.089155,-1.085245,-1.081035,-1.07634,-1.0716299999999999,-1.06759
MAGICC7,1e3fb9be-e733-4f2d-a033-7b36a2080f04,AIM/CGE,0.5,,,World,SSP370,climate,not_relevant,W/m^2,Effective Radiative Forcing|Aerosols|Direct Effect,-0.35824500000000004,-0.356085,-0.363605,-0.365585,-0.35116,-0.35345000000000004,-0.35026999999999997,-0.342605,-0.34612,-0.350225,-0.35507500000000003,-0.34911,-0.343285,-0.332585,-0.31818,-0.31043,-0.308885,-0.307955,-0.30752500000000005,-0.311,-0.310005,-0.307965,-0.30696,-0.307825,-0.305735,-0.305725,-0.306545,-0.30720499999999995,-0.30799,-0.30903499999999995,-0.310475,-0.31184999999999996,-0.31288,-0.31391,-0.31494500000000003,-0.314905,-0.31479999999999997,-0.314915,-0.31503000000000003,-0.314905,-0.31472,-0.31442499999999995,-0.313865,-0.31355500000000003,-0.313245,-0.31350500000000003,-0.31414,-0.31478,-0.31542000000000003,-0.31632,-0.31723500000000004,-0.31815,-0.31906,-0.31997,-0.320885,-0.32133,-0.32098499999999996,-0.32062999999999997,-0.32028,-0.319915,-0.31955500000000003,-0.31920000000000004,-0.31883,-0.31847000000000003,-0.31810499999999997,-0.317685,-0.317075,-0.31661,-0.31628,-0.315615,-0.31486000000000003,-0.31410499999999997,-0.31323500000000004,-0.31244,-0.311645,-0.31093499999999996,-0.31023,-0.30952,-0.309245,-0.308795,-0.30804,-0.30728,-0.30684500000000003,-0.30643,-0.30601500000000004,-0.30543,-0.305095,-0.30493000000000003,-0.304775,-0.30462,-0.3043,-0.30378,-0.303265,-0.302745,-0.30206,-0.30117,-0.30025,-0.299335,-0.298675,-0.29764,-0.29594,-0.29486999999999997,-0.293975,-0.29351499999999997,-0.293065,-0.29261000000000004
MAGICC7,1e3fb9be-e733-4f2d-a033-7b36a2080f04,AIM/CGE,0.5,,,World,SSP370,climate,not_relevant,W/m^2,Effective Radiative Forcing|Aerosols|Indirect Effect,-0.81891,-0.750105,-0.88036,-0.89849,-0.76451,-0.71253,-0.714275,-0.7991,-0.810795,-0.810095,-0.83401,-0.83666,-0.852425,-0.7930900000000001,-0.77272,-0.84576,-0.79044,-0.837545,-0.78694,-0.833885,-0.825755,-0.830295,-0.83478,-0.83885,-0.842295,-0.8449949999999999,-0.846805,-0.848605,-0.850405,-0.8521650000000001,-0.8541,-0.8563149999999999,-0.858385,-0.8604750000000001,-0.86276,-0.86446,-0.86557,-0.86668,-0.86768,-0.86859,-0.86951,-0.870425,-0.87134,-0.87225,-0.873165,-0.87359,-0.8735299999999999,-0.8734649999999999,-0.873405,-0.873345,-0.873285,-0.87322,-0.87316,-0.8731,-0.873035,-0.871815,-0.8694299999999999,-0.86703,-0.86463,-0.862225,-0.85982,-0.857395,-0.854975,-0.852545,-0.850115,-0.847625,-0.844985,-0.842275,-0.839565,-0.836835,-0.834105,-0.831375,-0.828635,-0.82588,-0.823125,-0.82028,-0.817345,-0.8143450000000001,-0.811395,-0.8084450000000001,-0.805485,-0.802515,-0.7995399999999999,-0.796545,-0.7934049999999999,-0.7906500000000001,-0.7882750000000001,-0.78598,-0.7837700000000001,-0.78155,-0.779325,-0.7770999999999999,-0.77487,-0.772635,-0.7703899999999999,-0.7678,-0.76464,-0.7614650000000001,-0.75829,-0.7551049999999999,-0.75191,-0.748705,-0.74549,-0.74244,-0.739625,-0.736735
MAGICC7,1e3fb9be-e733-4f2d-a033-7b36a2080f04,AIM/CGE,0.5,,,World,SSP370,climate,not_relevant,W/m^2,Effective Radiative Forcing|CH4,0.48629500000000003,0.48699000000000003,0.48857,0.49182000000000003,0.49473,0.49462,0.494035,0.494915,0.49660499999999996,0.496815,0.496465,0.496455,0.49846999999999997,0.50196,0.503295,0.50539,0.5072749999999999,0.5080450000000001,0.510695,0.51389,0.517635,0.52288,0.528575,0.5342100000000001,0.54002,0.54599,0.5520400000000001,0.557925,0.5638700000000001,0.57033,0.576835,0.583245,0.5896399999999999,0.59585,0.60215,0.6087549999999999,0.6153649999999999,0.6218950000000001,0.6282300000000001,0.63443,0.640395,0.6463300000000001,0.652355,0.6582600000000001,0.6640600000000001,0.66988,0.67577,0.68153,0.6871700000000001,0.6927749999999999,0.69814,0.7035,0.7087950000000001,0.714105,0.719355,0.72462,0.7299450000000001,0.735365,0.74081,0.746255,0.751455,0.756475,0.76154,0.766785,0.771935,0.77692,0.781705,0.786505,0.7913049999999999,0.7964199999999999,0.801525,0.8066150000000001,0.8114049999999999,0.8161700000000001,0.8210500000000001,0.82603,0.831095,0.835645,0.8402000000000001,0.844855,0.849505,0.85415,0.858905,0.863765,0.8685849999999999,0.87338,0.878265,0.883115,0.8878699999999999,0.8923,0.8969199999999999,0.901365,0.905575,0.9098649999999999,0.914065,0.91801,0.92187,0.92566,0.929155,0.93279,0.9359500000000001,0.9393,0.9424600000000001,0.94528,0.948315,0.952025
