Scenario,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
ssp119,0.5423646519607843,0.6063995539215685,0.6351304362745096,0.672300044117647,0.726533769607843,0.7721305343137254,0.8056623970588235,0.8271414166666666,0.8442976911764706,0.8572336715686273,0.8681509264705881,0.8819067107843137,0.8989082794117647,0.92780406372549,0.953976024509804,0.9755614166666664,1.0063758284313724,1.033264357843137,1.0659286715686274,1.0936195539215685,1.115526612745098,1.135875338235294,1.158205338235294,1.1826673970588235,1.2077330833333333,1.2388171029411763,1.2683780833333331,1.3038381813725488,1.3377570049019607,1.3665422990196077,1.3901434754901958,1.411823475490196,1.4289098480392155,1.448566906862745,1.4669358284313725,1.486623475490196,1.4979878872549015,1.506468475490196,1.515051906862745,1.5284999460784312,1.54060475,1.5522961225490195,1.5595598480392157,1.5653182794117646,1.5660111225490196,1.5631348480392155,1.558402593137255,1.556384455882353,1.5561011225490196,1.5580275931372547,1.5619425931372548,1.5667343578431372,1.571400044117647,1.5759772990196077,1.5756017107843137,1.569427789215686,1.5609147499999998,1.5495008284313725,1.5438440637254902,1.5398562205882351,1.5360918088235294,1.532973181372549,1.5304881813725488,1.527323083333333,1.5233421029411764,1.516563181372549,1.508053769607843,1.5002439656862745,1.4926921029411764,1.485027102941176,1.4784671029411764,1.475689161764706,1.4729804362745096,1.473658769607843,1.469953769607843,1.464508769607843,1.4581943578431371,1.45039906372549,1.443646612745098,1.4330122990196077,1.4256833774509805,1.4193289656862744,1.4117689656862744,1.406119651960784,1.402545926470588,1.4005861225490197,1.3983331813725488,1.3937583774509803,1.38745906372549,1.3799083774509804,1.3706394558823527,1.3618464166666666,1.3530564166666663,1.3452189656862743,1.339569455882353,1.336170926470588,1.334563083333333,1.3345688676470586,1.3311349460784314,1.3232788676470588,1.3140788676470587,1.303480338235294,1.2953569068627449,1.2853898480392156,1.2778777892156865,1.2732373970588236
ssp126,0.5423646519607843,0.6063995539215685,0.6351304362745096,0.672300044117647,0.726533769607843,0.7721305343137254,0.8056623970588235,0.8271414166666666,0.8442976911764706,0.8572336715686273,0.8681509264705881,0.8819067107843137,0.8989082794117647,0.92780406372549,0.953976024509804,0.9755614166666664,1.0063758284313724,1.033264357843137,1.0659286715686274,1.0936195539215685,1.115536612745098,1.135760338235294,1.157810338235294,1.1819161225490196,1.2064680833333332,1.2357021029411763,1.26329906372549,1.294768573529412,1.3269388676470586,1.3537379852941176,1.3765122990196077,1.39772337745098,1.414978475490196,1.4361872990196078,1.4543226911764706,1.47399906372549,1.4912272990196076,1.5085857303921566,1.5297611225490195,1.551416906862745,1.5739064166666663,1.5948285735294117,1.614120926470588,1.627246024509804,1.6395738676470588,1.6498133774509802,1.6570300441176469,1.6639814166666669,1.6721438676470586,1.6802688676470583,1.6914017107843136,1.7064777892156862,1.7226454362745096,1.7369651421568626,1.7456067107843136,1.745710926470588,1.7440551421568626,1.7470651421568626,1.7487382794117647,1.7512104362745098,1.7569815147058825,1.765950044117647,1.773320044117647,1.777267887254902,1.7820288676470588,1.784412593137255,1.7861141617647058,1.7877493578431372,1.788314357843137,1.7890693578431371,1.790151906862745,1.7936548480392156,1.797689455882353,1.8002955343137252,1.8004955343137254,1.7983704362745097,1.7954804362745098,1.7920704362745097,1.7876288676470586,1.7829888676470589,1.7780238676470586,1.7743362205882351,1.7716619068627448,1.769416906862745,1.7660884754901958,1.765528475490196,1.7625104362745097,1.7581754362745097,1.7524154362745097,1.745446906862745,1.734921906862745,1.7250876911764703,1.7175626911764703,1.7101695539215689,1.7038295539215689,1.7032495539215686,1.6999845539215686,1.6975495539215684,1.6938806323529412,1.6866606323529412,1.6776895539215684,1.6680554362745097,1.6599995539215686,1.651845044117647,1.6461452401960783,1.6414302401960783
ssp245,0.5423646519607843,0.6063995539215685,0.6351304362745096,0.672300044117647,0.726533769607843,0.7721305343137254,0.8056623970588235,0.8271414166666666,0.8442976911764706,0.8572336715686273,0.8681509264705881,0.8819067107843137,0.8989082794117647,0.92780406372549,0.953976024509804,0.9755614166666664,1.0063758284313724,1.033264357843137,1.0659286715686274,1.0936195539215685,1.115501612745098,1.134105044117647,1.1575138676470589,1.1808473970588236,1.2083240637254902,1.2340837696078428,1.2614255343137255,1.292356808823529,1.32355406372549,1.3499396519607842,1.373739651960784,1.3940451421568627,1.4131786715686274,1.4305155343137257,1.4515689656862745,1.4728021029411764,1.4947682794117645,1.517081906862745,1.5453686715686272,1.5751507303921566,1.605391612745098,1.6369065147058823,1.6620796519607843,1.688791906862745,1.7121309264705882,1.733278181372549,1.751986906862745,1.7735868088235294,1.795264455882353,1.818889455882353,1.8461130833333328,1.8749243578431367,1.9033357303921568,1.9334500441176468,1.9597209264705884,1.978667691176471,1.9940280833333333,2.011151612745098,2.027803083333333,2.044628769607844,2.0658459264705886,2.087385730392157,2.1094457303921565,2.130755828431373,2.1510352401960784,2.1688352401960787,2.1837902401960787,2.1975202401960785,2.2126623970588235,2.228847397058823,2.246930926470588,2.2675889656862744,2.2922389656862743,2.315241416666667,2.3330602401960787,2.3488238676470585,2.3641388676470587,2.378793867647059,2.392484848039216,2.405074848039216,2.417634848039216,2.4301355343137256,2.4437213186274507,2.4591458284313727,2.476592397058824,2.493668867647058,2.509943867647059,2.5246208284313725,2.536141808823529,2.5469265147058824,2.554452887254902,2.562133475490196,2.5680678872549016,2.576257397058823,2.5870873970588235,2.6008973970588234,2.615342397058823,2.6302577892156864,2.641530534313725,2.646625534313725,2.649440534313725,2.6505754362745098,2.653598475490196,2.655424259803921,2.660787397058824,2.667971024509804
ssp370,0.5423646519607843,0.6063995539215685,0.6351304362745096,0.672300044117647,0.726533769607843,0.7721305343137254,0.8056623970588235,0.8271414166666666,0.8442976911764706,0.8572336715686273,0.8681509264705881,0.8819067107843137,0.8989082794117647,0.92780406372549,0.953976024509804,0.9755614166666664,1.0063758284313724,1.033264357843137,1.0659286715686274,1.0936195539215685,1.1153516127450978,1.1310558284313723,1.1511107303921566,1.1719223970588233,1.194444259803921,1.2192727892156865,1.248840338235294,1.2793681813725488,1.3116632794117644,1.3422906323529409,1.3689620049019606,1.394697200980392,1.419895926470588,1.444910730392157,1.472175926470588,1.498489651960784,1.5252878872549018,1.553457887254902,1.5846028872549018,1.6200654362745095,1.6564371029411762,1.6945421029411762,1.7267691617647056,1.7589952401960784,1.7890668088235293,1.8174732794117647,1.842566612745098,1.8708649460784317,1.90082337745098,1.9337001421568625,1.969643867647059,2.007849946078432,2.046428769607843,2.084644259803921,2.117403769607844,2.147844946078432,2.1759809264705883,2.2062409264705884,2.2348857303921568,2.2659471029411766,2.298706318627451,2.335931318627451,2.37135906372549,2.4056264166666668,2.440733181372549,2.474036416666667,2.5057528872549018,2.537277887254902,2.569277299019608,2.601070240196078,2.634602299019608,2.671858867647059,2.712049455882353,2.752015534313726,2.789240730392157,2.824670142156863,2.8589873970588235,2.892992397058824,2.9279530833333336,2.96169975,2.9942257303921567,3.02651837745098,3.061718475490196,3.10087906372549,3.140522397058824,3.179148573529412,3.216308573529412,3.254439161764706,3.2908539656862743,3.325848965686274,3.3620234754901963,3.399889161764706,3.435190632352941,3.478006024509804,3.520131024509804,3.56415112254902,3.606273377450981,3.6469326911764703,3.688977004901961,3.729935338235294,3.769990338235294,3.8051863186274506,3.840127691176471,3.87683269117647,3.915077691176471,3.958812789215686
ssp434-over,0.5423646519607843,0.6063995539215685,0.6351304362745096,0.672300044117647,0.726533769607843,0.7721305343137254,0.8056623970588235,0.8271414166666666,0.8442976911764706,0.8572336715686273,0.8681509264705881,0.8819067107843137,0.8989082794117647,0.92780406372549,0.953976024509804,0.9755614166666664,1.0063758284313724,1.033264357843137,1.0659286715686274,1.0936195539215685,1.115471612745098,1.1324264166666664,1.1557221029411764,1.1784796519607843,1.2033573970588234,1.2298529852941176,1.2586880833333332,1.2903852401960785,1.3213957303921566,1.3491983774509804,1.37227837745098,1.3931215147058822,1.412357200980392,1.431462200980392,1.4491536715686275,1.466301906862745,1.4856151421568626,1.5039775931372548,1.524242200980392,1.547406808823529,1.5704401421568628,1.592738769607843,1.6124663186274508,1.630442495098039,1.645962985294117,1.6590097499999998,1.67237975,1.6863297499999998,1.701136024509804,1.71702906372549,1.7377706323529412,1.759134455882353,1.779534455882353,1.799907299019608,1.815262299019608,1.826297299019608,1.83612975,1.845032299019608,1.8537049460784316,1.8636571029411764,1.8769921029411765,1.8924128872549015,1.9062411225490197,1.9190261225490195,1.9303828872549016,1.94026337745098,1.9478456323529407,1.9520988676470588,1.957793867647059,1.964453671568628,1.971908181372549,1.9827224950980396,1.9935579852941177,2.0055141617647063,2.014975828431373,2.022520632352941,2.0276855343137257,2.0327189656862745,2.0373839656862742,2.040446906862745,2.043565044117647,2.047181416666666,2.0520414166666665,2.058430044117647,2.0641730833333334,2.070595240196078,2.079630730392157,2.085057789215686,2.0887251421568624,2.0928898480392157,2.094712887254902,2.0975288676470587,2.095572299019608,2.0973908284313723,2.1010931813725486,2.106811318627451,2.1128307303921567,2.1184001421568626,2.121870142156862,2.118731416666667,2.1152946519607845,2.1102478872549018,2.104818083333333,2.0991860245098035,2.095461024509804,2.093201024509804
ssp585,0.5423646519607843,0.6063995539215685,0.6351304362745096,0.672300044117647,0.726533769607843,0.7721305343137254,0.8056623970588235,0.8271414166666666,0.8442976911764706,0.8572336715686273,0.8681509264705881,0.8819067107843137,0.8989082794117647,0.92780406372549,0.953976024509804,0.9755614166666664,1.0063758284313724,1.033264357843137,1.0659286715686274,1.0936195539215685,1.115376612745098,1.135930044117647,1.1624445539215686,1.192404455882353,1.2237795539215686,1.259010044117647,1.2942517107843137,1.3325538676470587,1.3684911225490195,1.4052402401960784,1.4348104362745098,1.4651301421568628,1.4938976911764703,1.5239601421568627,1.556186808823529,1.5897647499999996,1.6210392598039214,1.654761024509804,1.6899988676470588,1.730765926470588,1.771605632352941,1.813428475490196,1.853376710784313,1.8932979852941172,1.930848573529412,1.962626906862745,1.9959155343137251,2.032994259803921,2.0696967107843136,2.1104199460784314,2.1576576911764707,2.2046346519607845,2.2521672009803924,2.297264946078432,2.3401902401960784,2.379640338235294,2.4180895539215683,2.4575379852941177,2.497822593137255,2.539669553921569,2.5832745539215685,2.633864259803921,2.68181975,2.727047102941176,2.7758305343137253,2.8225345539215687,2.8664645539215687,2.908030632352941,2.953415632352941,3.0012595539215687,3.049609848039216,3.102287200980392,3.1622958284313727,3.216471416666667,3.2700486715686274,3.320905828431372,3.3713932794117647,3.418007004901961,3.4687050441176472,3.51624769117647,3.563762397058824,3.6163618088235294,3.6686670049019607,3.726952691176471,3.784772004901961,3.844619455882353,3.903060534313725,3.957492887254902,4.010637887254902,4.065687102941176,4.117911122549019,4.171054553921568,4.22454700490196,4.277863279411765,4.332866220588235,4.391031220588236,4.450363279411764,4.510659651960784,4.568754651960784,4.619569553921568,4.66829200490196,4.711446024509803,4.755019848039215,4.802105240196078,4.852822593137255,4.902123867647059
